code,time,class,lowpoint,percentage_rise,second_exist,gap_time,percentage_second_burst,max_retracement
600767,20150209,2,10.83,0.83,1,18,0.39,0.21
600784,20130104,4,5.62,0.35,0,,0,0
600792,20110624,2,7.02,0.12,1,83,0.23,0.17
600797,20150601,2,10.01,1.85,0,,0,0
600804,20150319,2,28.73,0.32,1,31,0.34,0.24
600814,20130130,2,6.5,0.21,0,,0,0
600818,20120308,2,9.75,0.4,1,267,0.55,0.34
600827,20150424,2,20.21,0.1,1,28,0.25,0.16
600829,20150304,3,13,0.21,1,18,0.25,0.12
600837,20150202,2,18.8,0.17,0,,0,0
600839,20141103,2,4.76,0.21,1,87,1.62,0.22
600844,20150107,2,7.7,0.16,1,53,0.84,0.24
600845,20150112,2,33.36,1,1,36,0.36,0.22
600856,20140411,1,7.13,0.33,1,98,1.32,0.12
600858,20150429,2,10.7,0.39,1,21,0.19,0.19
600873,20141117,2,6.11,0.18,1,32,0.68,0.17
600873,20141117,2,6.01,0.18,1,24,1.16,0.17
600876,20150105,3,7.96,0.46,1,80,2.72,0.29
600891,20140911,2,6.26,0.33,1,107,1.09,0.22
600892,20150112,2,21.95,1.17,1,28,0.53,0.16
600893,20130618,2,15.34,0.24,1,139,0.37,0.21
600962,20140919,2,8.12,1.08,1,90,0.79,0.3
600970,20150601,2,19.5,0.21,0,,0,0
600980,20130206,2,12.66,0.26,0,,0,0
600981,20150123,3,4.63,0.77,1,17,2.16,0.15
600984,20150225,2,8.36,0.08,1,47,0.59,0.1
600986,20150121,2,7.76,0.78,1,16,2.26,0.2
600988,20120320,1,4.43,1.08,1,55,0.34,0.27
601519,20150123,2,6.58,3.25,1,15,0.25,0.18
601567,20150602,4,18.51,0.32,0,,0,0
601588,20150417,2,6.17,0.18,1,30,0.32,0.21
601608,20150507,2,4.69,3.26,0,,0,0
601669,20140930,2,2.82,0.48,1,37,3.77,0.18
601766,20141231,2,6.38,1.3,1,33,1.69,0.26
601777,20150526,4,15.92,0.62,0,,0,0
601899,20150527,4,5.68,0.3,0,,0,0
601969,20150522,2,22.94,0.47,0,,0,0
601989,20130911,2,4.83,0.42,0,,0,0
601992,20150327,2,9.83,0.29,1,42,0.16,0.14
603003,20150417,2,23.93,0.74,1,26,0.24,0.27
603009,20150514,2,30.93,0.33,1,3,0.57,0.07
603166,20150414,2,20.37,0.13,1,24,1.32,0.23
603169,20150506,2,18.88,0.45,1,11,0.29,0.18
